电影名,电影链接,电影详情,工作人员,评论人数,豆瓣评分
控方证人,https://movie.douban.com/subject/1296141/,1957 / 美国 / 剧情 犯罪 悬疑,导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,203237人评价,9.6
少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,862011人评价,9
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...,436008人评价,9.2
摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,2016 / 印度 / 剧情 传记 运动 家庭,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...,860828人评价,9
天空之城,https://movie.douban.com/subject/1291583/,1986 / 日本 / 动画 奇幻 冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,511538人评价,9.1
鬼子来了,https://movie.douban.com/subject/1291858/,2000 / 中国大陆 / 剧情 历史 战争,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,364804人评价,9.2
十二怒汉,https://movie.douban.com/subject/1293182/,1957 / 美国 / 剧情,导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,259602人评价,9.4
天堂电影院,https://movie.douban.com/subject/1291828/,1988 / 意大利 法国 / 剧情 爱情,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东内拉·阿蒂利 Anton...,419352人评价,9.2
飞屋环游记,https://movie.douban.com/subject/2129039/,2009 / 美国 / 剧情 喜剧 动画 冒险,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...,782133人评价,9
大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,1995 / 香港 中国大陆 / 喜剧 爱情 奇幻 古装,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,683336人评价,9
哈尔的移动城堡,https://movie.douban.com/subject/1308807/,2004 / 日本 / 动画 奇幻 冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,575382人评价,9
罗马假日,https://movie.douban.com/subject/1293839/,1953 / 美国 / 喜剧 剧情 爱情,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,581761人评价,9
搏击俱乐部,https://movie.douban.com/subject/1292000/,1999 / 美国 德国 / 剧情 动作 悬疑 惊悚,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,546934人评价,9
末代皇帝,https://movie.douban.com/subject/1293172/,1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,360383人评价,9.2
寻梦环游记,https://movie.douban.com/subject/20495023/,2017 / 美国 / 喜剧 动画 奇幻 音乐,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...,822102人评价,9
闻香识女人,https://movie.douban.com/subject/1298624/,1992 / 美国 / 剧情,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,498012人评价,9
辩护人,https://movie.douban.com/subject/21937445/,2013 / 韩国 / 剧情,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,345809人评价,9.2
素媛,https://movie.douban.com/subject/21937452/,2013 / 韩国 / 剧情,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,327975人评价,9.2
窃听风暴,https://movie.douban.com/subject/1900841/,2006 / 德国 / 剧情 悬疑,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,342995人评价,9.1
