name
桂林机场更新19号跑道仪表着陆系统及测距仪设备工程施工招标
平谷区平谷镇、王辛庄镇PG00-0002-6015地块项目园林景观工程（二次招标）
北京市房山区青龙湖镇中心区01-0010地块R2二类居住用地项目（监理）
北京大兴国际机场噪声区安置房及配套设施项目（榆垡组团A区）（一标段）
丰台区供水管网完善工程（三标段)
北京市轨道交通昌平线南延工程土建施工监理07合同段
空军指挥学院高中级干部理论读书班培训用房整修工程
营区营房基础设施整修改造工程
昌平区沙河镇西沙屯村、满井西队村棚户区改造土地开发C地块CP00-0403-0054地块R2二类居住用地项目(设计)
顺义区仁和镇前进村定向安置房（勘察）（二次公告）
中国科学院大学雁栖湖集体宿舍建设工程
2020北京·平谷世界休闲大会环长城100休闲步道建设项目（设计）
李桥镇南半壁店村环境综合整治二期工程
中苑宾馆改造工程
召里西路（召里大街-运潮北路）、运潮北路（召里西一路-通济路）道路工程设计
东城区宝华里房改带危改小区土地一级开发项目3号地块回迁住宅及配套服务设施（勘察）
中关村大街沿线夜景照明工程（二期）（设计）
北京市通州区台湖镇YZ00-0405-0099、YZ00-0405-0104地块R2二类居住用地项目-设计
怀柔区庙城HR00-0014-6019等地块R2二类居住用地勘察（详细名称见公告说明）
2018年平谷区金海湖镇中心区城市支路道路工程
顺义区高丽营镇夏县营村棚户区改造土地开发项目（详细名称见公告说明）
东城区宝华里房改带危改小区土地一级开发项目3号地块回迁住宅及配套服务设施（设计）
定福庄定向安置房项目
北京市支持河北雄安新区建设医院项目
怀柔区庙城HR00-0014-6019等地块R2二类居住用地（详细名称见公告说明）
天通苑南街道办事处改造工程项目
大兴区第一中学西校区周边西兴路、规划横十三路市政道路工程（大兴区第一中学西校区周边西兴路（西永路-芦东路）道路工程、给水工程、雨水管线、污水管线、再生水工程、电力工程）
昌平区天通苑综合文化中心改造工程
北京市第五十中学综合维修工程
2018年平谷区金海湖镇中心区城市支路道路工程
密云县溪翁庄镇京密引水渠调节池东侧A-02地块二类居住用地项目
2020北京·平谷世界休闲大会环长城100休闲步道建设项目（勘察）
顺义区仁和镇前进村定向安置房项目（设计）
中关村长城脚下的创新家园起步区市政工程（二标段）
智能安保产业基地项目（科研楼等8项）
门头沟区雁翅镇田庄配套基础设施建设工程（设计）
石景山区阜石路1603-616（部分）地块R2二类居住用地项目设计
康庄北路（郭公庄路-四合庄三号路）热力管线工程
昌平区建材城东侧路（西小口路～定泗路）道路工程(详见公告说明）
华润饭店改扩建项目热力管线工程
康庄北路（郭公庄路-四合庄三号路）热力管线工程
昌平区建材城东侧路（西小口路～定泗路）道路工程（详见公告说明）
海运仓路、中青社西路、中青社南街热力外线工程（二次公告）
海运仓路、中青社西路、中青社南街热力外线工程
华润饭店改扩建项目热力管线工程
