项目名称,项目编号,发包方名称,发包方联系人,时间,合同金额
北京市海淀区杨家庄道路工程,2019F20005284,北京市政建设集团有限责任公司,刘其铎,2019-07-01 00:00:00.0,301663.00
小中河马坡段河道污水治理与生态修复工程,2019F20005364,北京天源建筑工程有限责任公司,赵建志,2019-07-03 00:00:00.0,6995492.32
通州文化旅游区群芳东四路（曹园南大街—万盛南街）等九条路10千伏电力工程01标段,2019F20005428,北京市设备安装工程集团有限公司,桑振宇,2019-07-01 00:00:00.0,900000.00
昌平区温榆河以南地区污水收集和再生水利用管网工程（五标段）,2019F20005662,北京首通建设工程有限公司,/,2019-07-01 00:00:00.0,500000.00
宋庆龄故居中控室值班协议书,2019F20005906,北京首华建设经营有限公司,徐维恒,2019-07-01 00:00:00.0,44000.00
八里庄路文化墙建设项目,2019F20005391,保定建业集团有限公司,张兰柱,2019-07-03 00:00:00.0,616000.00
北京城市副中心东小营车辆段上盖职工周转房项目（一期）-综合服务结构设备转换夹层（一期）装饰装修劳务,2019F20005670,北京建工路桥集团有限公司,刘京伟,2019-07-01 00:00:00.0,993531.30
朝阳区南湖渠东路（广顺北大街二期）道路工程2#标段,2019Z20001215,北京市市政一建设工程有限责任公司,/,2019-07-01 00:00:00.0,9005464.00
2017年后厂村路（永丰路-京新高速公路）大修工程施工2标,2019F20005536,北京鑫旺路桥建设有限公司,陈旭东,2019-07-01 00:00:00.0,361200.00
北京市西城区市管道路日常养护、重大活动及节假日设施保障防汛巡养一体化等工程,2019F20005684,北京市政路桥管理养护集团有限公司,李青林,2019-07-01 00:00:00.0,962605.00
2#疫苗车间、3#疫苗车间,2019F20005547,江苏江都建设集团有限公司,钱春余,2019-07-01 00:00:00.0,5177290.00
海运仓1号京东宾馆改装工程,2019F20005908,北京首华建设经营有限公司,-,2019-07-01 00:00:00.0,350000.00
北京新机场临空经济区市政交通配套工程永兴河北路（大广高速~磁大路）道路及综合管廊工程（六标段）土方工程,2019F20005665,北京鸿励世业建筑工程有限公司,吕俊海,2019-07-03 00:00:00.0,2850000.00
东打磨厂街污水4线（东打磨厂街污水2线）更新改造工程,2019F20005559,北京北排建设有限公司,石磊,2019-07-03 00:00:00.0,61738.20
新机场高速公路地下综合管廊（南四环~新机场）工程一期土建施工GLS04,2019Z20001220,北京市政路桥股份有限公司,李军,2019-07-03 00:00:00.0,4256696.00
北京石景山五里坨项目建安工程029地块,2019F20005446,中建二局第三建筑工程有限公司,张万宾,2019-07-03 00:00:00.0,30257498.92
华威大厦六层室内精装改造工程,2019F20005968,正品达(北京)建筑科技有限公司,童友兵,2019-07-03 00:00:00.0,650000.00
2017年丰台区南苑路北段第四册架空线入地新建信息管道工程,2019F20005525,北京市政路桥管理养护集团有限公司,李青林,2019-07-03 00:00:00.0,392400.00
分钟寺桥西北侧地区回迁安置房项目3标段二区1#楼及地下车库二次结构及装修工程,2019Z20001267,北京城建六建设集团有限公司,朱忠泽,2019-07-03 00:00:00.0,5248171.67
门头沟区体育文化中心建设工程,2019Z20000816,北京城建集团有限责任公司,陈代华,2019-07-03 00:00:00.0,11980448.99
天坛街道2018年百街千巷环境整治提升TT-4工程-永内东街东里10号楼北侧路、永内东街西里7号楼南侧路室外道路维修改造,2019F20005528,北京市市政一建设工程有限责任公司,高飞,2019-07-03 00:00:00.0,467750.89
劳动人民文化宫协会公共区域改造建设项目,2019F20005657,北京首华建设经营有限公司,徐维恒,2019-07-03 00:00:00.0,100000.00
2019年居民社区环境整治（十里堡1-1号楼及周边区域）工程项目,2019F20005390,保定建业集团有限公司,张兰柱,2019-07-03 00:00:00.0,564000.00
北京亦庄水厂一期工程-厂区综合管线工程（横二路西段、横六路、顺二路及调蓄清水池南侧）,2019Z20001317,北京市政建设集团有限责任公司,刘其铎,2019-07-02 00:00:00.0,3994347.00
北京市轨道交通新机场线一期工程土建施工04合同段明挖区间安全文明施工及尾工工程,2019F20005954,北京市政路桥股份有限公司,李军,2019-07-02 00:00:00.0,482000.00
苏州桥更换桥梁伸缩缝工程,2019F20005710,北京公联洁达公路养护工程有限公司,董岩,2019-07-02 00:00:00.0,757546.00
研发生产楼（总部营销中心项目、研发中心项目、项目管理信息平台建设项目、设计中心项目）,2019F20005519,北京市常青市政工程有限公司,任有旺,2019-07-02 00:00:00.0,490000.00
燃气管道及设备安装工程,2019F20005626,北京市煤气工程有限公司,张锡勇,2019-07-02 00:00:00.0,80000.00
北京轨道交通房山线北延02合同段首经贸站污水管线防渗保护工程（二标段）,2019F20005673,北京北排建设有限公司,石磊之,2019-07-02 00:00:00.0,357245.20
北京市2018年西城区德胜门西滨河路架空线入地新建信息管道工程,2019F20005526,北京市政路桥管理养护集团有限公司,李青林,2019-07-03 00:00:00.0,73920.00
A座办公楼（综合商务设施项目（国瑞广场））,2019F20005344,北京京利堡消防工程有限公司,安书迎,2019-07-03 00:00:00.0,1200000.00
北京城市副中心东小营车辆段上盖职工周转房项目（一期）-综合服务结构设备转换夹层（一期）机电安装劳务,2019F20005671,北京建工路桥集团有限公司,刘京伟,2019-07-04 00:00:00.0,993206.09
北京城市副中心职工周转房项目施工总承包（C2标段）—地下车库34-47轴/AL-L轴及地上主楼C-6-5＃、C-5-3＃、 C-5-4#住宅楼电气安装工程,2019Z20001187,北京城建安装集团有限公司,李建武,2019-07-04 00:00:00.0,1836046.00
丰台区全鑫园住宅小区（2#、3#、5#、33#、35#、36#、37#住宅楼、1#、38#配电室、34#配套车库等）项目工程,2019F20005388,中铁建设集团有限公司,郝长江,2019-07-03 00:00:00.0,2968845.58
百融云创公司融科原有办公室退租恢复工程,2019F20005448,技良行(北京)建筑装饰工程有限公司,/,2019-07-04 00:00:00.0,450000.00
2019年四环辅路（惠新东桥-四元桥工程）等5项大修工程施工4标-车公庄大街（官园桥-三里河路）大修工程、车公庄西路（三里河路-花园桥）大修工程,2019F20005455,北京城建道桥建设集团有限公司,姚自然,2019-07-01 00:00:00.0,947600.00
密云区“7.16”水毁乡村公路及桥梁修复工程第2标段,2019Z20001086,北京鑫旺路桥建设有限公司,陈旭东,2019-07-03 00:00:00.0,15900000.00
怀柔区怀柔镇张各长村HR00-0004-6002、6003、6004地块F2公建混合住宅用地项目土建临设劳务,2019Z20001320,北京城建集团有限责任公司,罗岗,2019-07-04 00:00:00.0,1640240.00
朝阳区求实幼儿园（和平街园）食堂天然气工程,2019F20005606,北京天兴燃气工程有限公司,李胜国,2019-07-05 00:00:00.0,237782.09
2019年第一批市管城市道路、桥梁中修工程项目施工3标-南新华街,2019F20005533,北京光亚市政工程有限公司,牛存良,2019-07-04 00:00:00.0,128470.00
2019年第一批市管城市道路、桥梁中修工程项目施工3标 右安门内大街,2019F20005532,北京光亚市政工程有限公司,牛存良,2019-07-04 00:00:00.0,53690.00
2020世界休闲大会主会场项目二次结构及粗装修劳务施工工程2#标段,2019Z20001204,北京城建远东建设投资集团有限公司,邸光辉,2019-07-05 00:00:00.0,3281943.15
通州区东方厂周边棚户区改造项目3片区临时“三通一平”工程,2019Z20001254,北京市政路桥管理养护集团有限公司,李青林,2019-07-05 00:00:00.0,4402279.59
海淀区2019年背街小巷架空线规范梳理项目掘路恢复第二批工程,2019F20005683,北京市政路桥管理养护集团有限公司,李青林,2019-07-04 00:00:00.0,634390.00
北京地铁12号线桥梁防护工程施工03合同段,2019F20005531,北京市政路桥管理养护集团有限公司,李青林,2019-07-04 00:00:00.0,972150.00
A区地下一层多功能厅改造工程,2019F20005591,雅新工程有限公司,李茂生,2019-07-04 00:00:00.0,135627.11
第二文化馆东城区文化遗产展厅装修工程,2019F20005389,大元建业集团股份有限公司,郝书明,2019-07-04 00:00:00.0,144690.00
办公科研及配套用房（北京龙妫园农业生态技术研发中心项目）主体结构劳务工程,2019Z20001269,北京城建六建设集团有限公司,朱忠泽,2019-07-05 00:00:00.0,6937527.21
中国中医科学院西苑医院病房楼消防安全及节能系统改造项目,2019F20005913,中国建筑装饰集团有限公司,陶盛发,2019-07-05 00:00:00.0,8500000.00
土城北路污水一线改造工程,2019F20005557,北京北排建设有限公司,石磊,2019-07-05 00:00:00.0,188737.20
北京市第八中学教学楼等粉刷（拆除）,2019F20005709,北京房修一建筑工程有限公司,戴京斌,2019-07-04 00:00:00.0,160000.00
五棵松冰上运动中心项目空调水分包工程,2019Z20001281,中建一局集团建设发展有限公司,/,2019-07-05 00:00:00.0,2092260.77
朝阳区百子湾保障房项目安置房地块第一标段2#楼室内精装修工程,2019Z20001271,北京城建六建设集团有限公司,朱忠泽,2019-07-05 00:00:00.0,3730677.13
北京饭店A座3-17层管道更新,2019F20005460,中铁建设集团有限公司,谭学彪,2019-07-05 00:00:00.0,217819.66
外经贸附中（原九十四中）初中部食堂燃气改造工程,2019F20005608,北京天兴燃气工程有限公司,李胜国,2019-07-05 00:00:00.0,56200.00
2020世界休闲大会主会场项目二次结构及粗装劳务施工工程2#标段,2019Z20001180,北京城建集团有限责任公司,张锁全,2019-07-05 00:00:00.0,1466856.92
陈经伦中学分校（聚沙校区）燃气报警系统工程,2019F20005609,北京天兴燃气工程有限公司,李胜国,2019-07-05 00:00:00.0,55786.59
昌平区南邵镇（昌平新城东区六期（东））0302–57地块F1住宅混合公建用地（配建“公共租赁住房”）项目。（1#商品住宅等5项）二次结构及粗装修劳务分包工程,2019Z20001278,中国建筑一局（集团）有限公司,0,2019-07-06 00:00:00.0,7750102.68
北京丽泽金融商务区智慧清洁能源系统供热管网工程施工八标段-明开结构工程,2019Z20001314,北京市政建设集团有限责任公司,刘其铎,2019-07-05 00:00:00.0,2318547.00
云溪花园B-02地块住宅小区A-1#住宅楼等18项（密云县溪翁庄镇京密引水渠调节池东侧A-02、B-02、B-03、B-04地块项目）（即北京万科密云项目B02地块总包工程）三标段A段,2019Z20001362,北京城建北方集团有限公司,张权,2019-07-06 00:00:00.0,7346507.84
2019年静安西街等道路大修工程施工4标-成寿寺路（南四环东路-亦庄西环北路）大修工程-劳务3#标,2019F20005687,北京市市政一建设工程有限责任公司,-,2019-07-05 00:00:00.0,649550.00
28#住宅楼等11项、35#住宅楼等15项（大兴区庞各庄2号地棚户区改造安置房项目）-消防工程,2019F20005733,北京金海龙机电工程有限责任公司,刘宁之,2019-07-05 00:00:00.0,6909919.00
朝阳区外国语小学部抗震加固燃气切线工程,2019F20005607,北京天兴燃气工程有限公司,李胜国,2019-07-05 00:00:00.0,84842.98
办公和商业综合楼等4项（大兴开发区北区1号地DX00-0301-0144地块F3其他类多功能用地项目,2019F20005486,中建三局集团有限公司,陈华元,2019-07-08 00:00:00.0,6249587.26
北京市怀柔区富密路289号HR-0014-00A22地块R2二类居住用地建设项目（一标段）Ⅰ标段结构工程,2019F20005465,北京城建建设工程有限公司,苗林庆,2019-07-08 00:00:00.0,17469545.90
2019年中国北京世界园艺博览会园区基础设施项目一标段,2019F20005689,北京市政路桥股份有限公司,李军,2019-07-08 00:00:00.0,496800.00
五棵松冰上运动中心项目通风分包工程,2019Z20001322,中建一局集团建设发展有限公司,.,2019-07-08 00:00:00.0,3541848.21
北京丽泽金融商务区智慧清洁能源系统供热管网工程施工八标段-暗挖结构工程,2019Z20001333,北京市政建设集团有限责任公司,刘其铎,2019-07-08 00:00:00.0,5424160.00
兰格加华105号楼装饰装修工程,2019F20005911,深圳鹏润建设集团有限公司,袁华亮,2019-07-08 00:00:00.0,666540.67
北京雁栖湖生态发展示范区环境整治定向安置房项目二期一标段10A-15地块脚手架劳务工程,2019Z20001474,北京住总集团有限责任公司,王宝申,2019-07-11 00:00:00.0,2775365.01
亦庄新城现代有轨电车T1线工程项目土建-4标段劳务7标,2019F20005951,北京市市政六建设工程有限公司,/,2019-07-11 00:00:00.0,493822.00
2019年第一批市管城市道路、桥梁中修工程项目施工（第八标段）高梁桥等桥梁中修工程-鼓楼立交北跨河桥、白云路口东天桥、白云路口西天桥,2019F20005773,北京市政路桥管理养护集团有限公司,李青林,2019-07-11 00:00:00.0,603642.00
北京市军民结合产业基地市政基础设施升级改造工程项目（二标）井室砌筑,2019F20005769,北京市市政四建设工程有限责任公司,-,2019-07-11 00:00:00.0,497628.33
西山八大处门区至七处道路及景观改造提升工程（含基础设施改造工程）市政工程施工,2019F20005698,北京市市政六建设工程有限公司,-,2019-07-11 00:00:00.0,490000.00
石景山区衙门口棚户区改造土地开发项目回迁安置房1612-730地块（一标段）,2019Z20001095,中国新兴建设开发有限责任公司,马健峰,2019-07-11 00:00:00.0,5848000.00
洪寺110千伏输变电工程（外电源工程）第四标段,2019F20005731,北京东方中远市政工程有限责任公司,曹义元,2019-07-11 00:00:00.0,18830000.00
10#住宅楼等8项（13#住宅楼、14#住宅楼、15#住宅楼）一次结构劳务工程,2019F20005768,中国建筑第八工程局有限公司,校荣春,2019-07-15 00:00:00.0,3414868.20
成寿寺路燃气掘路,2019F20005685,北京市政路桥管理养护集团有限公司,李青林,2019-07-09 00:00:00.0,117580.00
中国医学科学院北京协和医院内科楼血液净化中心工程,2019F20005713,北京城建七建设工程有限公司,刘新,2019-07-09 00:00:00.0,4104873.93
居庸关南瓮城及2号停车场加固治理工程,2019F20005682,北京市市政四建设工程有限责任公司,/,2019-07-09 00:00:00.0,200000.00
北京市昌平区水务局未来科技城再生水处理中心设施设备维护工程,2019F20005681,北京市市政四建设工程有限责任公司,/,2019-07-09 00:00:00.0,200000.00
北京大华时尚科技发展有限公司天然气工程,2019F20005862,北京市煤气工程有限公司,张锡勇,2019-07-09 00:00:00.0,187000.00
理工大学污水改造工程,2019F20005558,北京北排建设有限公司,石磊,2019-07-08 00:00:00.0,112970.40
北京经济技术开发区路东区科创十一街、科创十四街道路景观提升工程（科创十四街、科创十二街开口）,2019Z20001419,北京鑫实路桥建设有限公司,谷天利,2019-07-15 00:00:00.0,9000000.00
丰台区高立庄科技商务办公区项目1-4#商业，7#商业及8#地下车库建设工程,2019F20005740,中天建设集团有限公司,楼永良,2019-07-15 00:00:00.0,85000000.00
北京市轨道交通昌平线南延工程土建施工02合同段区间暗挖工程,2019F20005737,中铁二十二局集团有限公司,孟广顺,2019-07-15 00:00:00.0,17000000.00
京东集团总部二期2号楼项目C座,2019F20005837,中建八局第一建设有限公司,董文祥,2019-07-15 00:00:00.0,13588241.01
2#办公楼等4项一次结构劳务工程一次结构劳务工程,2019F20005766,中国建筑第八工程局有限公司,校荣春,2019-07-15 00:00:00.0,4928258.70
301#住宅楼等13项（东海花园3-2居住用地项目）,2019F20005752,南通建工集团股份有限公司,张向阳,2019-07-15 00:00:00.0,24669396.00
北京环球影城主题公园项目标段三 （713、714）3-1（301）游乐设施等10项精装修专业分包合同,2019F20005705,苏州金螳螂建筑装饰股份有限公司,王汉林,2019-07-11 00:00:00.0,20000000.00
2019年朝阳区城市道路桥梁维修工程,2019Z20001353,北京市政路桥管理养护集团有限公司,李青林,2019-07-12 00:00:00.0,8826000.00
北京雁栖湖生态发展示范区环境整治定向安置房项目二期一标段,2019Z20001259,北京住总集团有限责任公司,王宝申,2019-07-11 00:00:00.0,15153911.76
门头沟区采空棚户区改造城子D地块定向安置房项目（3标段）5#、6、7#景观及室外管道劳务人工配合工程,2019Z20001214,北京住总集团有限责任公司,王宝申,2019-07-09 00:00:00.0,2497499.22
2019年第一批市管城市道路、桥梁中修工程项目施工（第八标段）高粱桥等桥梁中修工程-鼓楼立交北跨河桥、高粱桥,2019F20005694,北京市政路桥管理养护集团有限公司,李青林,2019-07-09 00:00:00.0,318064.00
2019年北京市市管城市道路架空线入地掘路修复工程施工2标,2019Z20001354,北京鑫旺路桥建设有限公司,陈旭东,2019-07-12 00:00:00.0,8018600.00
海淀北部地区整体开发永丰产业基地（新）HD00-0401-0093、0097、0099、0108地块二类居住及零售商业用地项目（C1#零售商业楼等7项）施工总包工程C3#楼、C4#楼及部分车库主体劳务分包工程,2019F20005867,中建三局集团有限公司,罗世威,2019-07-10 00:00:00.0,15605842.72
通州区东方厂周边棚户区改造安置房项目（七标段）项目临建土建工程（Ⅱ标段）,2019F20005895,中铁北京工程局集团有限公司,丁荣富,2019-07-09 00:00:00.0,617330.15
西长安街及其延长线市容环境景观提升项目施工一标段,2019F20005696,北京市市政三建设工程有限责任公司,/,2019-07-10 00:00:00.0,410000.00
过二环联通线（安定门桥）中压天然气管道工程,2019Z20001346,北京市市政三建设工程有限责任公司,-,2019-07-09 00:00:00.0,2161205.00
2017年第一批市级疏堵工程施工第一标段酒仙桥大山子路口及周边道路疏堵改造工程,2019F20005556,北京政华建业建设投资有限公司,邸朝群,2019-07-09 00:00:00.0,94125.00
朝阳区百子湾保障房项目安置房地块第一标段1#楼室内精装修工程,2019Z20001270,北京城建六建设集团有限公司,朱忠泽,2019-07-10 00:00:00.0,3730677.13
北京冬季奥运村人才公租房项目一标段,2019F20005852,北京城建安装集团有限公司,李玉华,2019-07-08 00:00:00.0,43000.00
通州口岸（YZ00-0606-0014地块）F3其他类多功能用地项目（二标段）机电安装工程（给排水及暖通工程）,2019Z20001387,北京市设备安装工程集团有限公司,桑振宇,2019-07-09 00:00:00.0,2480000.00
稻香园南街道路工程、排水工程、再生水工程、给水工程项目,2019F20005688,北京市常青市政工程有限公司,任有旺,2019-07-08 00:00:00.0,490000.00
昌平区东小口镇G09-1地块居住小区及配套公建消防工程,2019F20005791,北京兴百建设安装集团有限公司,耿新,2019-07-08 00:00:00.0,950000.00
2018年北京市第一批市管城市道路、桥梁中修工程施工桥梁2标-国际展览中心1#天桥、华威南天桥,2019F20005555,北京政华建业建设投资有限公司,邸朝群,2019-07-09 00:00:00.0,169500.00
商务办公楼等2项,2019F20005725,江苏江都建设集团有限公司,钱春余,2019-07-09 00:00:00.0,6300000.00
1#厂房等3项（研发厂房及附属设施项目）,2019F20005724,中兴建设有限公司,倪道仁,2019-07-08 00:00:00.0,3865575.00
北京市光明饭店有限公司食堂燃气工程,2019F20005625,北京市煤气工程有限公司,张锡勇,2019-07-09 00:00:00.0,21400.00
丰台区南苑路南段（大红门桥-警备东路）架空线入地道路加铺,2019F20005686,北京西海市政建筑工程有限公司,张东升,2019-07-09 00:00:00.0,210000.00
北京亦庄水厂一期工程-厂区综合管线工程（顺一路、横三路及综合管理楼办公区）,2019Z20001388,北京市政建设集团有限责任公司,刘其铎,2019-07-15 00:00:00.0,2636412.00
南海子郊野公园（原三海子郊野公园）二期园林景观工程灌溉、生活消防、中水、给水干管工程二标段（劳务1标）,2019F20005697,北京市市政三建设工程有限责任公司,/,2019-07-09 00:00:00.0,499000.00
地铁八号线管线改移工程,2019F20005690,北京市政路桥管理养护集团有限公司,李青林,2019-07-09 00:00:00.0,487030.00
海淀区“海淀北部地区整体开发”翠湖科技园HD00-0303-6019、6020地块R2二类居住用地项目二标段结构工程,2019F20005750,中建一局集团建设发展有限公司,/,2019-07-15 00:00:00.0,985500.00
FS00-YF06-0088地块1#住宅楼等28项（房山区城关中心区棚户区改造土地开发项目二期安置地块）0088-6#住宅楼及地下车库工程-水暖电气安装工程一标段,2019Z20001331,北京城建建设工程有限公司,苗林庆,2019-07-09 00:00:00.0,2430621.78
2019年第一批市管城市道路、桥梁中修工程项目施工（第八标段）高梁桥等桥梁中修工程-白云路东天桥,2019F20005770,北京市政路桥管理养护集团有限公司,李青林,2019-07-16 00:00:00.0,300622.00
通州区朝阳北路等道路更换LED路灯工程（三标）,2019F20005949,北京市政建设集团有限责任公司,刘其铎,2019-07-16 00:00:00.0,490000.00
广渠路（东四环路～通州区怡乐西路）道路环保工程,2019Z20001351,北京市市政六建设工程有限公司,/,2019-07-16 00:00:00.0,1200078.00
2019年第一批市管城市道路、桥梁中修工程项目施工（第八标段）高粱桥等桥梁中修工程-白云路口西天桥,2019F20005955,北京市政路桥管理养护集团有限公司,李青林,2019-07-16 00:00:00.0,199820.00
北京城市副中心春明西路（潞阳大街～大营东街）、春明西路（云帆路～潞阳大街）管廊工程及春明西路（云帆路-大营东街）道路工程2标临设土建劳务分包,2019Z20001307,北京城建集团有限责任公司,罗岗,2019-07-16 00:00:00.0,6217353.25
北京地铁12号线工程土建施工10合同段安贞桥车站及安～安区间超前支护注浆工程,2019F20005869,北京滕宇翔建设工程有限公司,陈宇,2019-07-16 00:00:00.0,4320000.00
通州区永顺镇（商务园B2-2、B2-3地块）商业金融项目机电分包工程劳务分包部分,2019F20005597,北京城建八建设发展有限责任公司,李金海,2019-07-09 00:00:00.0,3271246.78
北京轨道交通房山线北延工程土建施工03合同段丰益桥南站附属锚喷施工,2019F20005953,北京市政路桥股份有限公司,李军,2019-07-15 00:00:00.0,648000.00
小红门再生水利用工程-园博支线K0+000--K3+200土建工程,2019Z20001206,北京城建集团有限责任公司,/,2019-07-15 00:00:00.0,8502436.59
春林大街跨魏永路排水沟桥梁工程,2019Z20001334,北京市市政二建设工程有限责任公司,高宪仁,2019-07-15 00:00:00.0,1097784.00
朝阳区东三环北京商务中心（CBD）核心区Z12地块项目机电分包工程通风与空调安装II标段工程,2019Z20001411,中建一局集团建设发展有限公司,.,2019-07-15 00:00:00.0,3212865.15
北京商务中心区投资管理有限公司灶具安装工程,2019F20005957,北京市煤气工程有限公司,张锡勇,2019-07-15 00:00:00.0,19800.00
海淀区“海淀北部地区整体开发”翠湖科技园HD00-0303-6019、6020地块R2二类居住用地项目二标段结构工程,2019F20005748,中建一局集团建设发展有限公司,/,2019-07-15 00:00:00.0,977500.00
腾盛博药医药（北京）有限公司装修工程（钢结构工程）,2019F20005630,江苏建设控股集团有限公司,杨圣,2019-07-10 00:00:00.0,363200.00
燃气学院教学楼建设项目康体楼等10项工程小市政工程,2019F20005722,北京市第二建筑工程有限责任公司,刘凤春,2019-07-10 00:00:00.0,959732.61
三分公司工程所李洪亮技师工作室改造工程及三分户内服务二所基地建设项目工程,2019F20005959,北京天兴燃气工程有限公司,李胜国,2019-07-15 00:00:00.0,52366.56
朝阳区垂杨柳北里23号楼燃气改线工程,2019F20005863,北京天兴燃气工程有限公司,李胜国,2019-07-10 00:00:00.0,226846.99
新建京雄城际铁路二标项目,2019F20005638,中铁北京工程局集团有限公司,谭费,2019-07-10 00:00:00.0,2245007.36
绿茶餐厅财富中心店燃气改造工程,2019F20005860,北京市煤气工程有限公司,张锡勇,2019-07-10 00:00:00.0,66700.00
北京城市副中心职工周转房项目施工总承包（B2标段）住宅B-2-3#、B-2-4#、B-2-7#、B-2-8#、B-2-10#、B-2-11#、配套设施B-2-12#、B-2-13# 机电安装劳务分包工程,2019Z20001241,中建一局集团第二建筑有限公司,/,2019-07-10 00:00:00.0,9800000.00
北京市军民结合产业基地市政基础设施升级改造项目（二标）管道铺设,2019F20005765,北京市市政四建设工程有限责任公司,-,2019-07-10 00:00:00.0,497743.30
2019年第一批市管城市道路、桥梁中修工程项目施工（第七标段）蒋宅口天桥等桥梁中修工程-东四十条桥西天桥、蒋宅口天桥、四元立交四环内环向京顺路进京辅路匝道一、二号桥、四元立交京顺路进京向四环外环匝道桥、四元立交四环内环向京顺路出京匝道桥,2019F20005774,北京鑫旺路桥建设有限公司,李青林,2019-07-12 00:00:00.0,908188.00
国家残疾人冰上运动比赛训练馆建设项目,2019Z20000827,北京城建集团有限责任公司,陈代华,2019-07-10 00:00:00.0,13637486.35
2019年怀柔区大屯立交桥旧桥改造工程,2019F20005763,北京路桥瑞通养护中心有限公司,王凤平,2019-07-12 00:00:00.0,935050.00
古城南街（石景山路~莲石西路）道路工程1#标段雨水工程（劳务4标）,2019F20005777,北京市市政一建设工程有限责任公司,/,2019-07-12 00:00:00.0,486018.00
北京市第八中学教学楼等粉刷,2019F20005716,北京房修一建筑工程有限公司,井洪涛,2019-07-13 00:00:00.0,420000.00
1-1住宅等11项（丰台区小屯西路棚户区改造项目）1-1#住宅楼地上及配套用房主体结构劳务工程,2019Z20001438,北京城建道桥建设集团有限公司,-,2019-07-13 00:00:00.0,6527162.94
1-1住宅等11项（丰台区小屯西路棚户区改造项目）1-2#、1-4#住宅楼地上主体结构劳务工程,2019Z20001440,北京城建道桥建设集团有限公司,-,2019-07-13 00:00:00.0,7393082.30
北京市2019年朝阳区望京街一册架空线入地新建信息管道工程,2019F20005772,北京西海市政建筑工程有限公司,张东升,2019-07-13 00:00:00.0,470000.00
B-7#住宅楼等14项(昌平区东小口镇住宅混合公建用地(配建公共租赁住房)项目南侧雨水调蓄池、污水处理站基坑支护工程,2019F20005969,中国建筑技术集团有限公司,/,2019-07-12 00:00:00.0,400000.00
南湖渠东路雨水泵站工程,2019F20005702,北京易成市政工程有限责任公司,强兵,2019-07-10 00:00:00.0,95927.00
北信基础2017年信息管道工程施工30标段-朝阳区关东店北街（三环-东大桥环岛）架空线入地新建信息管道工程,2019F20005775,北京光亚市政工程有限公司,牛存良,2019-07-13 00:00:00.0,223400.00
1#生产厂房等18项（8英寸集成电路研发产业化及封测平台建设项目）项目室外工程-雨水调蓄池、事故水池,2019F20005539,北京博大经开建设有限公司,王春玲,2019-07-09 00:00:00.0,2526378.18
京霸铁路JBSG-01标四工区项目部燃气管道保护工程,2019F20005864,北京天兴燃气工程有限公司,李胜国,2019-07-09 00:00:00.0,506127.00
通州区张采路附属设施中修工程,2019F20005947,北京路桥瑞通养护中心有限公司,王凤平,2019-07-16 00:00:00.0,495652.00
2019年第一批市管城市道路、桥梁中修工程项目施工（第七标段）蒋宅口天桥等桥梁中修工程-蒋宅口天桥,2019F20005771,北京鑫旺路桥建设有限公司,陈旭东,2019-07-16 00:00:00.0,168078.00
新机场高速公路地下综合管廊（南四环 ~新机场）工程一期土建施工GLS04,2019Z20001376,北京市政路桥股份有限公司,李军,2019-07-15 00:00:00.0,4674404.00
北京市公安局出入境管理总队安苑路办公区改造项目,2019Z20001352,北京市市政六建设工程有限公司,/,2019-07-15 00:00:00.0,2169069.74
C06地块1#办公用房等14项（通州区于家务乡乡中心C地块项目（配建公共租赁住房））一标段及A-10地块1#商业，办公用房（通州区于家务乡乡中心A地块项目（配建公共租赁住房）-消防喷淋系统、火灾自动报警系统及消防通风工程）,2019F20005732,北京奥成益华消防工程有限公司,孙重建,2019-07-15 00:00:00.0,1291831.00
海淀区“海淀北部地区整体开发”翠湖科技园HD00-0303-6019、6020地块R2二类居住用地项目二标段结构工程,2019F20005749,中建一局集团建设发展有限公司,-,2019-07-15 00:00:00.0,965300.00
1#商业办公楼（通州区运河核心区IX-07地块F3其他类多功能用地项目）幕墙工程,2019F20005739,北京港源幕墙有限公司,-,2019-07-10 00:00:00.0,550000.00
北京市通州区潞城镇棚户区改造土地开发项目BCD区后北营东侧二期地块及西北角地块安置房项目施工总承包（四标段）机电安装劳务分包工程,2019Z20001240,中建一局集团第二建筑有限公司,/,2019-07-10 00:00:00.0,9500000.00
北京万科关承别墅特写楼小市政工程,2019F20005776,北京易成市政工程有限责任公司,强兵,2019-07-10 00:00:00.0,305856.00
前进监狱狱内门窗护栏改造工程（二次）,2019F20005910,北京弘洁建设集团有限公司,任成茂,2019-07-10 00:00:00.0,864000.00
西四环北路（昆明湖南路-四海桥）西侧污水改造工程,2019F20005838,北京北排建设有限公司,石磊,2019-07-14 00:00:00.0,91824.50
1-1#住宅楼等29项（房山区周口店镇02-0001等地块R2二类居住用地项目）之二标段临时道路分包工程,2019Z20001453,中建一局集团建设发展有限公司,/,2019-07-13 00:00:00.0,1200000.00
1-1住宅等11项（丰台区小屯西路棚户区改造项目）地下主体结构劳务工程,2019Z20001434,北京城建道桥建设集团有限公司,-,2019-07-13 00:00:00.0,9917205.35
安定门外大街污水2线更新改造工程,2019F20005839,北京北排建设有限公司,石磊,2019-07-14 00:00:00.0,65508.00
北京环球影城主题公园项目标段二消防工程,2019F20005712,北京利华消防工程有限公司,于军,2019-07-14 00:00:00.0,2561010.00
流水巷合流2线更新改造工程,2019F20005840,北京北排建设有限公司,石磊,2019-07-14 00:00:00.0,63190.50
